Transportista,Patente,Date,bajo,medio,alto,distance,raev,dev
Coseducam,SCRW86,2024-10-18,6.2,8.2,10.3,528.7231691275164,12.250610927383455,7.307323275503559
Coseducam,TBGK52,2024-10-18,6.2,8.2,10.3,493.926384502301,14.988300727038258,10.037950068250456
Coseducam,TJSZ85,2024-10-18,6.2,8.2,10.3,484.4506894290252,7.7427580787958385,4.75986855113428
Coseducam,TBRC90,2024-10-18,6.2,8.2,10.3,464.2235469799845,11.743848863280572,7.018459277659348
Coseducam,TFPB74,2024-10-18,6.2,8.2,10.3,542.4124222334802,18.471018077670266,11.041523085804355
Coseducam,SJFS43,2024-10-18,6.2,8.2,10.3,493.87785237193617,7.596670876805242,5.110327330106284
Coseducam,TBRS46,2024-10-18,6.2,8.2,10.3,529.6757395648269,17.00859775247846,10.545572708934301
Coseducam,SXSW22,2024-10-18,6.2,8.2,10.3,525.4222027043006,17.95254810618289,10.668532037507315
Coseducam,SXSW78,2024-10-18,6.2,8.2,10.3,416.19662017336515,13.084237199259244,8.192615401565096
Coseducam,TCLY63,2024-10-18,6.2,8.2,10.3,495.9525003871795,8.199622708547722,5.055990402831688
Coseducam,SWKV91,2024-10-18,6.2,8.2,10.3,412.47859701609065,10.957719885290146,6.749884388078928
Coseducam,TCLY66,2024-10-18,6.2,8.2,10.3,521.2503932527359,12.452680128147373,8.615796787197278
Coseducam,SYLR61,2024-10-18,6.2,8.2,10.3,792.1593286520474,15.488865226049715,10.41862774228717
Coseducam,SKPK71,2024-10-18,6.2,8.2,10.3,445.4114519485929,14.230808964219884,8.464932554346728
Coseducam,TBLK39,2024-10-18,6.2,8.2,10.3,86.6822468106094,2.0638892606507167,1.5899589036910224
Vía Carrión,SLHS92,2024-10-18,6.2,8.2,10.3,516.151561449401,14.261648337685044,8.963767339595051
Coseducam,TDCV27,2024-10-18,6.2,8.2,10.3,522.4035092111276,9.685698214603676,6.103036249657895
Coseducam,TBYZ89,2024-10-18,6.2,8.2,10.3,511.60799293617765,25.951702578016953,16.466707283426114
Coseducam,TDCV29,2024-10-18,6.2,8.2,10.3,255.76391702226329,6.694502130673218,3.9526267686271015
Coseducam,SJFS45,2024-10-18,6.2,8.2,10.3,528.8144833416867,8.296522319711636,5.982429628680108
Vía Carrión,SLHS90,2024-10-18,6.2,8.2,10.3,526.2814359599879,22.74426587463532,14.422559101340935
Coseducam,SZBK92,2024-10-18,6.2,8.2,10.3,526.3332682793987,13.111510941058311,8.334489744916814
Vía Carrión,RFZV30,2024-10-18,6.2,8.2,10.3,526.6038292034043,25.76763146674016,19.855724339537765
Coseducam,PLPF60,2024-10-18,6.2,8.2,10.3,481.5169992581743,10.16204843970336,6.513138530202748
Coseducam,SXCF12,2024-10-18,6.2,8.2,10.3,545.7006052769473,16.344021066102158,10.407492488792867
Coseducam,TFDS53,2024-10-18,6.2,8.2,10.3,58.255807514949645,0.0,0.0
Coseducam,TJCC39,2024-10-18,6.2,8.2,10.3,527.5274210489351,21.081217004845847,14.016673876341846
Coseducam,SZXB12,2024-10-18,6.2,8.2,10.3,526.6953465267086,12.2479471789996,7.798611276648612
Coseducam,TJPH86,2024-10-18,6.2,8.2,10.3,517.9427433451184,14.694394785452412,8.806401935832529
Coseducam,SSBV31,2024-10-18,6.2,8.2,10.3,4.498973338760117,0.32896934071617023,0.2421867408673681
Coseducam,TJPJ24,2024-10-18,6.2,8.2,10.3,660.7134783659175,16.2142039639957,10.810932509564898
Coseducam,TJCC40,2024-10-18,6.2,8.2,10.3,522.2427288735444,10.103492384518587,6.154349501013804
Coseducam,TCLZ14,2024-10-18,6.2,8.2,10.3,342.1653934164301,26.08323028676261,18.93837636542921
Coseducam,TBGK51,2024-10-18,6.2,8.2,10.3,524.3968107979657,8.318698686914752,5.096195344517722
Coseducam,TBLK38,2024-10-18,6.2,8.2,10.3,268.17241874824816,3.576043171986721,2.5443769194176875
Coseducam,SWKT42,2024-10-18,6.2,8.2,10.3,558.6603060934847,23.10201279428936,14.272274302217026
Vía Carrión,PJJT97,2024-10-18,6.2,8.2,10.3,523.1163928398163,1.9048974291226428,1.3347535235420172
